a0,a1,class
10.2853,15.5879,0
13.3977,9.4489,0
9.736239999999999,12.6803,0
10.102,13.8327,0
13.2948,9.67373,0
12.027000000000001,11.6794,0
9.02699,10.037,0
7.048610000000001,11.7805,0
6.963480000000001,13.5684,0
10.8647,12.8412,0
12.9935,12.7392,0
10.2387,8.7269,0
12.8208,9.09689,0
10.0757,12.6126,0
11.1102,10.2846,0
12.4556,13.08,0
12.2155,9.65196,0
12.9229,11.542,0
11.1008,9.02085,0
10.9209,9.59777,0
11.4096,9.53336,0
10.5031,8.42181,0
11.2975,13.7944,0
14.4427,14.0645,0
9.24522,6.3510800000000005,0
13.7208,8.70933,0
12.2301,10.2221,0
11.193,8.43631,0
10.4446,12.999,0
10.1417,10.9996,0
10.3359,9.96782,0
13.1075,9.19083,0
15.7146,12.7994,0
12.5988,10.7885,0
13.7371,11.1957,0
10.7311,11.8062,0
10.3493,12.4929,0
12.3584,13.7269,0
9.74875,8.06392,0
15.277000000000001,8.7331,0
9.988389999999999,8.48958,0
7.639989999999999,9.95249,0
13.019,10.4603,0
15.533,11.7353,0
8.84702,12.7126,0
6.33838,10.7875,0
9.12712,9.10559,0
11.5392,11.6736,0
9.57425,8.27815,0
12.036,9.464030000000001,0
9.58285,8.74504,0
9.48151,9.34905,0
14.2484,12.2762,0
7.8692,13.1175,0
7.095610000000001,17.0267,0
9.52603,10.8738,0
10.7816,10.4197,0
10.0579,11.2599,0
10.8526,9.24078,0
11.6347,9.8983,0
8.700239999999999,9.924619999999999,0
14.2256,11.3613,0
12.8905,11.4887,0
8.79037,10.1663,0
10.6595,9.86563,0
13.0638,7.88238,0
11.4512,14.332,0
11.7037,11.6295,0
10.677999999999999,9.367939999999999,0
12.9059,10.4048,0
9.62556,13.5514,0
9.650889999999999,11.5933,0
14.6918,13.4815,0
5.46508,11.3012,0
9.54994,12.8137,0
9.10825,9.25509,0
12.6276,10.0659,0
8.93566,9.93538,0
13.0995,5.311380000000001,0
9.87907,12.0555,0
10.8123,10.6796,0
9.508230000000001,7.885789999999999,0
13.0082,10.5426,0
11.5436,10.9323,0
8.7761,11.6394,0
12.7687,9.336910000000001,0
11.3043,9.26709,0
12.3303,9.74822,0
14.3593,13.7495,0
10.5029,9.89098,0
7.8921600000000005,9.34875,0
12.6119,10.8014,0
13.5926,7.6512199999999995,0
11.8051,10.7185,0
10.3672,10.9661,0
13.835999999999999,11.8349,0
13.3408,11.2043,0
13.7508,8.3146,0
9.99295,7.5334699999999994,0
12.1482,8.50987,0
-8.15915,12.4951,1
-8.69138,11.3625,1
-9.8678,12.5735,1
-8.27239,12.785,1
-9.694339999999999,8.542,1
-9.019789999999999,11.3726,1
-10.4177,12.2478,1
-10.3714,10.663,1
-10.2251,9.00527,1
-8.9103,11.8916,1
-10.9822,11.5525,1
-9.528310000000001,14.3645,1
-8.31235,9.904639999999999,1
-8.76167,10.5637,1
-5.83441,11.3968,1
-4.85251,13.1248,1
-9.20176,7.087689999999999,1
-10.9743,11.8846,1
-6.97203,15.6536,1
-6.676089999999999,13.8874,1
-6.753489999999999,11.4894,1
-7.59054,8.463560000000001,1
-12.6022,13.9913,1
-8.903089999999999,10.9931,1
-6.77526,13.1124,1
-6.14754,14.2269,1
-12.7836,9.42039,1
-7.048839999999999,11.8684,1
-7.13025,12.1593,1
-11.277000000000001,10.093,1
-6.89434,9.25801,1
-10.4527,5.07281,1
-10.4803,10.6683,1
-8.47463,11.8748,1
-5.11975,8.98323,1
-6.34842,9.84141,1
-7.91765,5.91214,1
-10.2219,10.1545,1
-8.2302,13.0919,1
-6.39922,9.8102,1
-10.9774,12.9241,1
-9.11125,11.5687,1
-8.11391,11.1287,1
-9.22034,10.9382,1
-9.519969999999999,13.6462,1
-8.91597,9.74642,1
-7.93755,11.6505,1
-8.280510000000001,9.08855,1
-13.0249,11.1027,1
-7.561960000000001,5.24336,1
-9.40132,10.1054,1
-11.522,9.59164,1
-5.70545,11.8033,1
-7.68155,11.3911,1
-4.442419999999999,10.5031,1
-10.7844,7.11077,1
-6.38779,13.7167,1
-8.880189999999999,14.2858,1
-10.6571,7.78901,1
-12.1074,9.053980000000001,1
-11.919,9.13574,1
-9.186819999999999,8.23553,1
-9.4299,11.3965,1
-11.6852,14.027999999999999,1
-6.33026,8.43822,1
-5.13549,12.4671,1
-9.21555,11.3193,1
-8.80208,9.22076,1
-9.069560000000001,12.6632,1
-7.79741,9.75698,1
-7.329219999999999,8.652389999999999,1
-4.26465,12.2434,1
-4.986219999999999,13.1325,1
-9.022839999999999,11.513,1
-7.32163,12.2498,1
-8.24109,11.8668,1
-11.6494,10.4242,1
-7.81216,11.4443,1
-10.4779,11.857000000000001,1
-9.75377,6.4718599999999995,1
-11.2797,11.1699,1
-6.65706,8.04905,1
-7.02349,10.1169,1
-9.104560000000001,13.5722,1
-8.06141,8.67109,1
-8.231710000000001,14.6537,1
-10.5604,13.4901,1
-6.88433,10.0032,1
-10.5319,10.166,1
-9.576360000000001,13.6233,1
-7.02917,14.3025,1
-8.85825,9.161769999999999,1
-8.609539999999999,12.2224,1
-5.88269,9.33278,1
-7.1188199999999995,13.3915,1
-3.4294300000000004,10.2696,1
-7.801660000000001,8.28932,1
-8.222339999999999,11.9387,1
-10.3803,8.05069,1
-5.36517,9.408619999999999,1
-9.15413,10.0251,1
-7.9293,13.3296,1
-11.3038,11.3796,1
-9.12616,12.4598,1
-9.97153,12.0641,1
-9.8504,12.5714,1
-10.9537,9.20369,1
-10.5455,7.338710000000001,1
-8.46275,15.5629,1
-9.64334,16.2297,1
-8.92172,11.0065,1
-8.73237,11.2459,1
-7.809130000000001,8.769060000000001,1
-8.563039999999999,12.3347,1
-8.53814,11.3161,1
-7.44223,12.8791,1
-6.80757,9.958160000000001,1
-6.76305,10.0631,1
-6.45452,9.44122,1
-9.534880000000001,10.0164,1
-12.1993,11.5643,1
-7.44308,11.3326,1
-7.78873,16.1372,1
-6.20134,14.2023,1
-7.777410000000001,10.045,1
-8.19271,9.50124,1
-10.6717,10.5736,1
-11.4406,10.4145,1
-7.7244399999999995,8.60753,1
-10.6368,12.1985,1
-7.79375,14.8963,1
-8.29113,9.4083,1
-10.0496,10.8408,1
-9.54378,13.1031,1
-9.23061,8.223189999999999,1
-11.6756,9.944930000000001,1
-8.18122,11.5232,1
-9.92561,9.339780000000001,1
-6.0471900000000005,11.5579,1
-6.26722,11.0697,1
-7.00633,10.8418,1
-7.41685,12.7797,1
-5.75437,9.38442,1
-6.866060000000001,11.0477,1
-7.604210000000001,13.9623,1
-7.4513,10.2384,1
-5.4962599999999995,11.3234,1
-10.8551,9.00775,1
-6.82476,13.0333,1
-8.45762,13.3438,1
-8.99511,10.7946,1
-9.98119,8.26322,1
-11.1417,9.71525,1
-7.460489999999999,11.5046,1
-8.30076,11.6334,1
-8.06483,14.6771,1
-5.72698,11.0238,1
-6.36229,8.944989999999999,1
-6.89428,10.5326,1
-7.1965699999999995,9.638710000000001,1
-7.281839999999999,10.3178,1
